#,Title,Summary,Price,Proposal Questions,Job URL,Client Location
1,AI Agent Developer for Real Estate,"Building a custom AI agent system for brokerage operations. Automates lead follow-up, transaction coordination, agent recruiting, document assistance, and internal notifications. Requires LangChain/LlamaIndex/CrewAI/AutoGen, Python, LLM APIs.",$19.00-$40.00/hr,,https://www.upwork.com/jobs/~022053957325706890983/,United States
2,AI Engineer for Demolition Estimating Agent,Build a Claude-powered autonomous estimating agent for a demolition contracting business. Includes extracting 15 years of historical project cost data from OneDrive and building an agent that reads new project scopes and produces formatted cost estimates automatically.,"$10,000.00 Fixed-price",Describe a specific AI agent you've built that processed unstructured documents and extracted structured data. | What agent orchestration framework would you recommend for this project and why?,https://www.upwork.com/jobs/~022054012068594981230/,United States
3,Senior AI Agent Developer (Agentic Workflows / LangChain / CrewAI),"Agentic AI implementation for an investment firm - sourcing, deal review, work flow process AI implementation.",$30.00-$100.00/hr,,https://www.upwork.com/jobs/~022053809019088451551/,Turkey
4,AI Bot developer,"Build an intelligent shopping assistant for an online store. The system allows customers to text/chat naturally about what they are looking for, and the AI agent handles the entire purchasing process automatically.",Not listed,Please list any certifications related to this project | Describe your recent experience with similar projects | What frameworks have you worked with? | Describe your approach to testing and improving QA,https://www.upwork.com/jobs/~022053907339778772695/,United States
5,AI Agents & Autonomous Workflows Developer Needed,"Design and implement AI Agents and Autonomous Workflows for business operations. Responsibilities include designing AI agents capable of autonomous decision-making, building automated workflows, implementing LLM-based solutions, creating data pipelines, and optimizing performance.",$50.00 Fixed-price,,https://www.upwork.com/jobs/~022054239100870265908/,United States
6,Seeking AI Automation / Agentic AI Expert to Build an AI-Native Startup Operating Model,"Australian AI startup seeking to transform internal business operations into an AI-native, highly automated, agentic operating model. Need help with marketing, sales, research, proposal generation, and workflow automation agents.","$1,000.00 Fixed-price",,https://www.upwork.com/jobs/~022054137193124075979/,Australia
7,AI Agent Manager,"Multi-brand wellness business (Earthing Oz, Barefoot Healing, Blushield) looking for an AI Agent Manager to design, build, and maintain AI capabilities. First work is a discovery phase; requires hands-on experience with Claude API, n8n workflow design, and Notion.",$20.00-$55.00/hr,Describe your recent experience with similar projects | Please list any certifications related to this project | What office applications are you most familiar with? | How do you handle sensitive information or records?,https://www.upwork.com/jobs/~022054165732463360493/,Australia
8,AI SMS Agent Trainer (Prompt Optimization),"Improve an AI agent used for cold SMS outreach campaigns for e-commerce store owners, to better convert cold SMS prospects into booked appointments. Involves studying real conversations, analyzing where the current agent fails, and rewriting/testing its prompt.",$20.00 Fixed-price,,https://www.upwork.com/jobs/~022054193269417817328/,Hong Kong
9,AI Agent Developer Needed to Build Custom LLM-Powered Automation System,"Build a custom AI agent system for workflow automation, research, task execution, and tool/API integration. The agent should understand user requests, break them into steps, use external tools/APIs, and complete tasks with minimal human input.",$500.00 Fixed-price,"Have you built AI agents before? | Which AI agent framework would you recommend for this project and why? | How would you handle memory, tool calling, and multi-step task execution? | What backend stack would you use? | How long would it take to build a working MVP? | Can you help with deployment?",https://www.upwork.com/jobs/~022054093625165873614/,South Korea
10,AI Agent Receptionist for Retell AI,"Develop two AI Agent Receptionists for Retell AI, one fluent in Cantonese and the other in Mandarin. The project involves creating AI agents that can effectively communicate and book appointments.",$150.00 Fixed-price,,https://www.upwork.com/jobs/~022053810024157941479/,United States
11,AI Agent and SaaS Flow Specialist,"Design a scalable, cost-efficient multilingual voice infrastructure for Acumind AI, a SaaS voice-first learning platform for frontline workforces. Build hybrid voice architecture balancing quality with cost-efficiency.",$300.00 Fixed-price,,https://www.upwork.com/jobs/~022053996154124029655/,Australia
12,Build an Agentic AI PoC for Employee Training (Cybersec),"Build a proof-of-concept AI system for a Fortune 500 client that delivers personalized cybersecurity training to employees who fall for phishing simulations. Four-agent pipeline that personalizes training content based on employee role, history, and missed warning signs.",Not listed,,https://www.upwork.com/jobs/~022053961177438222444/,United States
13,AI voice agent developer,"Expand and maintain AIKAG, an AI-powered voice and SMS platform built with Retell AI, Claude API, Twilio, Supabase, and ElevenLabs. Focus on improving scalability, workflow intelligence, guardrails, and product quality.",$700.00 Fixed-price,,https://www.upwork.com/jobs/~022053964916768737761/,United States
