company,fit_flag,alek_signal,lender_note,lane,line_type,cnam_match,lien_age_months,ucc_status,ucc_secured_party,ucc_lender_class,power_units,equipment_ticket,crm,funded,david_colour,outcome,human_reached,owner_reached,david_comment
"HDD CACTUS, INC.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: North Mill independent lender linkage available; additional Trans Lease dealer affiliation flagged. UCC filing IDs: 20262083571;20242006750. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://hddcactus.com/; https://hddcactus.com/horizontal-directional-drilling/; https://hddcactus.com/utility-boring-contractor/; https://hddcactus.com/fiber-optic-directional-boring/; https://www.industrynet.com/listing/3978835/hdd-cactus-inc; https://dpi.commongroundalliance.com/participate/accredited-organizations/ UCC source: https://data.colorado.gov/resource/wffy-3uut.json",A_VAC,landline (ILEC),none,0,,"North Mill Credit Trust; Trans Lease, Inc.",ef_independent,,Hydrovac or vacuum-excavation truck capacity supporting underground utility work.,no,0,,no_decision,0,0,LMWS. She did not want to provide POC. No info online
Freddy's Concrete Pumping,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20222018702. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.nsnlookup.com/cage/8zmf9; https://naicslist.com/company-profile/freddys-concrete-pumping-loveland-co-80538; https://www.qdexx.com/US/CO/Loveland/Contractors/US-CO-Loveland-Contractors-Freddys-Concrete-Pumping/; https://www.linkedin.com/in/freddy-marquez-3679961aa; https://dot.report/plate/CO/F035146; https://www.qdexx.com/US/CO/Loveland/Contractors/US-CO-Loveland-Contractors-Freddys-Concrete-Pumping/ UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,wireless,none,54,,"COMMERCIAL CAPITAL COMPANY, LLC",ef_independent,,Concrete boom or line-pump capacity for self-performed concrete placement.,no,0,,no_decision,0,0,Great VM! :) LVM Offered Q4 promos
"In A Flash, Inc.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20222101263. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.quicktransportsolutions.com/truckingcompany/colorado/in-a-flash-inc-usdot-1972961.php; https://cage.report/DUNS/027077190; https://www.mapquest.com/us/colorado/in-a-flash-concrete-pumping-472800359; https://www.linkedin.com/in/bill-offutt-96197674; https://www.linkedin.com/in/clay-austin-36a6bb19 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,wireless,none,47,,Commercial Credit Group Inc. on behalf of itself and on behalf of all Affiliates of CCI,ef_independent,,Concrete boom or line-pump capacity for self-performed concrete placement.,no,0,,no_decision,0,0,LVM. Offered Q4 promos
C.A.S. Services Inc,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20242045960. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://linkedin.com/company/c-a-s-services-inc; https://safer.fmcsa.dot.gov/query.asp?query_param=MC_MX&query_string=1583646&query_type=queryCarrierSnapshot&searchtype=ANY; https://www.facebook.com/p/CAS-Services-INC-61560287774060/; https://www.lanefinder.com/c/c_a_s_services_inc/4058414; https://www.linkedin.com/in/clint-sellmer-830; https://www.linkedin.com/in/daniel-sanchez-307a99105; https://www.texas-drilling.com/operators/c-a-s-services-inc/119843 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,wireless,none,27,,North Mill Credit Trust,ef_independent,,"Truck-mounted crane or boom capacity for mobile lifting, installation, or timber erection.",no,0,,no_decision,0,0,LVM. Offered Q4 promos
5280 SIGNPROS LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Star is a MEDIUM-confidence supported current nonbank/nonmanufacturer lender inference. Current controlling ownership is undisclosed; no complete shareholder verification is claimed. Other recorded context: LENDER_LINKAGE_REVIEW_REQUIRED; independent-lender status requires retained lender evidence. UCC filing IDs: 20262089758. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://linkedin.com/company/5280-signpros-llc; https://www.linkedin.com/in/pauljvandyke; https://www.linkedin.com/in/paul-vandyke-6936617a; https://www.linkedin.com/in/mckenzie-vandyke-6294a2288 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",B_BUCKET,wireless,none,0,,Star Capital Group,ef_independent,,Bucket/aerial truck capacity for commercial sign installation and service.,no,0,,no_decision,0,0,LMIG. Offered Q4 promos
Wisdom Tree Care Inc.,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Amur current independent-lender classification verified by current own site; HTTP-0f0f39664009. UCC filing IDs: 20232068048. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.bbb.org/us/co/fort-collins/profile/tree-service/wisdom-tree-care-inc-0805-46084721; https://www.lanefinder.com/c/wisdom_tree_care_llc/2599882; http://www.datalog.co.uk/browse/detail.php/CompanyNumber/USCO20051419550/CompanyName/Wisdom+Tree%2C+LLC; https://cdnc.heyzine.com/files/uploaded/v3/3a08a28f868a54414e7b90ab8a98cfdf371fc385.pdf UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,wireless,none,38,,AMUR,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity supporting tree removal, pruning, storm response, and material handling.",yes,0,existing,existing_lead,0,0,DO NOT CALL. Wally's lead
ALL TERRAIN CONCRETE PUMPING & SHOTCRETE LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20192094827; 20222099820; 20222129563; 20242009577. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=2628787&query_type=queryCarrierSnapshot; https://dcontrol.com/profile/mitchell-mark-pennock; https://incfact.com/company/allterrainconcretepumpingshotcrete-breckenridge-co/; https://www.linkedin.com/in/mitch-pennock-3098512b9; https://www.mapquest.com/us/colorado/all-terrain-concrete-pumping-471363597; https://truckingjobnow.com/trucking-directory/all-terrain-concrete-pumping-and-shotcrete/; https://dcontrol.com/profile/mitchell-mark-pennock; https://www.townofbreckenridge.com/home/showpublisheddocument/21394/639057134839670000 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,landline/VoIP (CLEC),none,31,,Commercial Credit Group Inc. on behalf of itself and on behalf of all Affiliates of CCI; TIMEPAYMENT CORP,ef_independent,,Concrete boom or line-pump capacity for self-performed concrete placement.,no,0,yellow,dead,0,0,1st number is NIS. 2nd number is Texas area code. URL is down
STONE CREEK PUMPING LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"UCC filing IDs: 20252060333. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.stonecreekpumps.com/; https://otrucking.com/carrier/stone-creek-pumping-llc-dot-4121587/; https://opengovco.com/business/20258345717 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,wireless,none,15,,Mitsubishi HC Capital America / ENGS Commercial Finance,ef_independent,,Concrete placement operations can use line or boom-pump trucks; current ownership is only a ranking bonus.,no,0,yellow,dead,1,1,Sam is NLWC. Emp hanged up when he heard financing
"Altitude Arborist, LLC",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20162025590. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://altitudearborist.com/; https://www.linkedin.com/company/altitude-arborist; https://altitudearborist.com/services/deep-root-fertilization/; https://altitudearborist.com/services/emerald-ash-borer/ UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,landline (ILEC),none,125,,ALLEGIANT_PARTNERS,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity supporting tree removal, pruning, storm response, and material handling.",no,0,,no_decision,0,0,LMWS line 1. No promos. Sec didn't know the 2nd number
MAVERICK FIELD AND CRANE LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Current Navitas ownership is Wafra following September 2026 closing; older filings may date to bank ownership and are flagged as historical bank-era relationships. Other recorded context: Navitas became Wafra-owned effective 2026-09-01; these filings occurred during prior bank ownership and are retained with that historical flag. UCC filing IDs: 20232067806. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://linkedin.com/company/maverick-field-and-crane-llc; https://www.lanefinder.com/c/maverick_field_and_crane_llc/3970994; https://www.linkedin.com/in/taylor-g-045193a9; https://www.roserocket.com/trucking-company/maverick-field-and-crane-llc-usdot-3970994; https://prospeo.io/c/maverick-field-and-crane-email-format; https://bubba.ai/trucking-companies/colorado/keenesburg/maverick-field-and-crane-llc-3970994 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,wireless,none,38,,Navitas Credit Corp.,ef_independent,,"Truck-mounted crane or boom capacity for mobile lifting, installation, or timber erection.",no,0,,no_decision,0,0,Line 1 straight to a woman's MB. LVM (line 2). URL is down
